signature	comparison	grp1	grp2	pval	grp1.min	grp1.25	grp1.median	grp1.75	grp1.max	grp1.mean	grp2.min	grp2.25	grp2.median	grp2.75	grp2.max	grp2.mean	grp1.detection	grp2.detection	signif_label
SBS18	IHC-DCC	IHC	DCC	0.218899685187591	0	0	0.00137559028451946	0.0143719839508163	0.404546482281776	0.0223501702636818	0	0	0.000484362146784202	0.00597709268256056	0.105485140647127	0.00849159763576773	0.136044176706827	0.0676578947368421	
SBS2	IHC-DCC	IHC	DCC	7.29922129735592e-09	0	0.000334373506978257	0.0157391273919494	0.0480406648454551	0.384811078401798	0.0341559111461205	0.000423066005791649	0.0328007898506712	0.074441582070093	0.145866641044055	0.466674755170181	0.104700194668738	0.39429718875502	0.75471052631579	***
SBS20	IHC-DCC	IHC	DCC	0.82394044466634	0	0	0	0	0.262456904916382	0.00620015907728796	0	0	0	0	0.271730290471762	0.00785045615807055	0.0424859437751004	0.0362631578947368	
SBS21	IHC-DCC	IHC	DCC	0.254226282436391	0	0	0	0	0.255257426019838	0.0027244219307308	0	0	0	0	0.00315027562761325	0.0001747485400656	0.0191124497991968	0.00326315789473684	
SBS22a	IHC-DCC	IHC	DCC	0.295479009110814	0	0	0.000141700719852725	0.00956814531216456	1	0.0454029400904151	0	0	4.13493777672208e-05	0.00392947657787414	0.070276872166596	0.00534310597128461	0.148329317269076	0.062	
SBS22b	IHC-DCC	IHC	DCC	0.105042364255766	0	0	0	0.00121907708496304	0.0979057958565983	0.00270048586845141	0	0	0	0.000107807786900667	0.0265879592219625	0.00129878519318076	0.0320562248995984	0.0165789473684211	
SBS24	IHC-DCC	IHC	DCC	0.303607412968231	0	0.00017539871605934	0.00733679510408224	0.0448160355537041	0.857121996391833	0.0516887143749082	0	0.00100500343112384	0.024029394588514	0.0495574673648111	0.223915732963309	0.039068641617997	0.235831325301205	0.265394736842105	
SBS28	IHC-DCC	IHC	DCC	0.910869969481942	0	0	0	0.000935761205987115	0.171158336816228	0.00352109376777128	0	0	0	0.0017668672262502	0.0152911174040262	0.00207727237854222	0.0447269076305221	0.0345526315789474	
SBS29	IHC-DCC	IHC	DCC	0.547353208705905	0	0	0.00059699829884829	0.00604476649280125	0.594977313191959	0.0110592318613752	0	0	0.000901157893263717	0.00951010167169011	0.0717239331060048	0.00683603795817057	0.0672208835341366	0.0529473684210526	
SBS3	IHC-DCC	IHC	DCC	0.442536416035814	0	0.00025297693944399	0.00423165887228135	0.0331489185022585	0.421007475221814	0.03730966144153	0	0	0.00257572816530463	0.0598939059863489	0.269159931690437	0.0412574107606514	0.152963855421687	0.163105263157895	
SBS32	IHC-DCC	IHC	DCC	0.516367621807053	0	3.52403948436921e-05	0.00206866399258461	0.0228377010910982	0.342286480632363	0.0212598588678086	0	0.000108101304358628	0.00219014267733917	0.00858935079894505	0.117298154501554	0.0102451731880748	0.151903614457831	0.0902368421052632	
SBS38	IHC-DCC	IHC	DCC	0.149797260025719	0	0	0	0.00070663050841239	0.163572653965563	0.00397656382748537	0	0	0.000104764517190915	0.00147559546370363	0.0270348757917771	0.00259576322761834	0.031570281124498	0.0301315789473684	
SBS4	IHC-DCC	IHC	DCC	0.42149397479293	0	0	0.000282641212438196	0.00507385272120551	0.400462540479123	0.0173481750800248	0	0	6.19583000827427e-05	0.00927527074425668	0.119941368949991	0.0152209423607259	0.0842248995983936	0.100026315789474	
SBS40a	IHC-DCC	IHC	DCC	0.112075228851385	0	0.00348072368662173	0.0316879482805352	0.172891389774771	0.530127622935994	0.0985040535620977	0	0.00225687537782764	0.0156548246294355	0.052674828997737	0.180426197215682	0.0408670409707644	0.318313253012048	0.150157894736842	
SBS40b	IHC-DCC	IHC	DCC	0.493836827491199	0	0	0.000331749366949996	0.00505626325911674	0.223214889969846	0.00922395776426898	0	0	0.000235742598330001	0.00198794602147613	0.0361490673591627	0.0029556840095979	0.0620200803212851	0.0223421052631579	
SBS40c	IHC-DCC	IHC	DCC	0.36735806576611	0	0.000204430189943088	0.00572682092462486	0.0406584082194457	0.531257151352056	0.0367131234374968	0	0.000146929131791374	0.00554126375708032	0.029313384047192	0.29032741403214	0.0226988965973991	0.156232931726908	0.0963947368421053	
SBS42	IHC-DCC	IHC	DCC	0.429777844466061	0	0.00146416222292596	0.0275932061374287	0.109017253144776	0.992955395772523	0.0711122341546673	0	0.00113536963578811	0.0290379471443356	0.064628059064938	0.19366527364694	0.0433128754515744	0.355176706827309	0.300105263157895	
SBS44	IHC-DCC	IHC	DCC	0.279613078976112	0	0	0	0	0.204937107722196	0.00223327628553598	0	0	0	0	0.0579806678731963	0.00299076886008339	0.0122248995983936	0.0241052631578947	
SBS5	IHC-DCC	IHC	DCC	0.575819202835723	0	0.00555349181572841	0.0291238985351337	0.113557458330517	0.57883242074415	0.075178989818338	0.000166597455277338	0.00852547219592485	0.0392724103138326	0.105696217249852	0.238635682681693	0.0653269613761905	0.269012048192771	0.266552631578947	
